user_id,age,sex,user_lv_cd,user_reg_tm
200001,56ÀÍ“‘…œ,2,5,2016-01-26
200002,-1,0,1,2016-01-26
200003,36-45ÀÍ,1,4,2016-01-26
200004,-1,2,1,2016-01-26
200005,16-25ÀÍ,0,4,2016-01-26
200006,36-45ÀÍ,2,2,2013-04-10
200007,36-45ÀÍ,2,3,2016-01-26
200008,-1,2,3,2016-01-26
200009,36-45ÀÍ,2,2,2016-01-26
200010,36-45ÀÍ,2,3,2016-01-26
200011,-1,0,5,2013-04-10
200012,36-45ÀÍ,2,3,2013-04-10
200013,26-35ÀÍ,2,4,2013-04-10
200014,26-35ÀÍ,2,4,2013-04-10
200015,26-35ÀÍ,1,3,2016-01-26
200016,26-35ÀÍ,2,3,2016-01-26
200017,36-45ÀÍ,2,4,2016-01-26
200018,16-25ÀÍ,2,2,2016-01-26
200019,16-25ÀÍ,2,2,2016-01-26
200020,-1,2,2,2016-01-26
200021,26-35ÀÍ,2,2,2016-01-26
200022,26-35ÀÍ,0,5,2013-04-10
200023,36-45ÀÍ,2,4,2016-01-26
200024,36-45ÀÍ,2,3,2016-01-26
200025,46-55ÀÍ,2,3,2013-04-10
200026,26-35ÀÍ,2,2,2016-02-04
200027,26-35ÀÍ,1,5,2013-04-10
200028,16-25ÀÍ,2,4,2016-01-26
200029,-1,2,2,2016-01-26
200030,-1,2,2,2016-01-26
200031,36-45ÀÍ,2,3,2016-01-26
200032,36-45ÀÍ,2,4,2013-04-10
200033,36-45ÀÍ,2,5,2016-02-02
200034,26-35ÀÍ,2,4,2016-01-26
200035,36-45ÀÍ,2,3,2016-01-26
200036,26-35ÀÍ,2,4,2016-01-26
200037,26-35ÀÍ,2,5,2013-04-10
200038,26-35ÀÍ,0,5,2013-04-10
200039,16-25ÀÍ,2,3,2016-01-26
200040,36-45ÀÍ,2,2,2016-01-26
200041,16-25ÀÍ,2,3,2016-01-26
200042,36-45ÀÍ,2,2,2016-01-26
200043,36-45ÀÍ,2,3,2016-01-27
200044,36-45ÀÍ,2,3,2016-01-27
200045,26-35ÀÍ,2,5,2013-04-10
200046,36-45ÀÍ,2,3,2016-01-26
200047,16-25ÀÍ,0,4,2013-04-10
200048,36-45ÀÍ,2,2,2016-01-27
200049,36-45ÀÍ,2,3,2013-04-10
200050,26-35ÀÍ,2,3,2016-01-27
200051,36-45ÀÍ,2,2,2016-01-27
200052,-1,2,3,2013-04-10
200053,26-35ÀÍ,2,4,2013-04-10
200054,16-25ÀÍ,2,5,2013-04-10
200055,36-45ÀÍ,0,3,2016-01-27
200056,36-45ÀÍ,2,2,2016-01-27
200057,26-35ÀÍ,1,4,2013-04-10
200058,36-45ÀÍ,2,3,2013-04-10
200059,26-35ÀÍ,2,5,2013-04-10
200060,36-45ÀÍ,2,3,2016-01-27
200061,26-35ÀÍ,2,3,2016-01-27
200062,26-35ÀÍ,2,4,2016-01-27
200063,36-45ÀÍ,0,4,2016-01-27
200064,26-35ÀÍ,0,4,2016-01-27
200065,26-35ÀÍ,0,4,2010-08-10
200066,-1,2,2,2016-01-27
200067,36-45ÀÍ,2,2,2016-01-27
200068,56ÀÍ“‘…œ,0,5,2016-01-27
200069,36-45ÀÍ,2,5,2016-01-27
200070,26-35ÀÍ,2,3,2016-01-27
200071,36-45ÀÍ,0,5,2013-04-11
200072,36-45ÀÍ,0,5,2010-08-10
200073,-1,2,2,2016-01-27
200074,-1,2,5,2013-04-11
200075,36-45ÀÍ,0,5,2013-04-11
200076,26-35ÀÍ,1,3,2016-01-27
200077,26-35ÀÍ,2,5,2013-04-11
200078,26-35ÀÍ,1,3,2010-08-10
200079,36-45ÀÍ,2,2,2016-01-27
200080,-1,2,1,2016-01-27
200081,36-45ÀÍ,2,3,2016-01-27
200082,26-35ÀÍ,2,3,2016-01-27
200083,36-45ÀÍ,0,3,2016-01-27
200084,26-35ÀÍ,2,2,2016-01-27
200085,36-45ÀÍ,2,3,2013-04-11
200086,-1,2,3,2016-01-27
200087,16-25ÀÍ,0,2,2016-01-27
200088,26-35ÀÍ,2,4,2016-01-27
200089,16-25ÀÍ,2,3,2013-04-11
200090,36-45ÀÍ,2,3,2016-01-27
200091,-1,2,4,2016-01-27
200092,26-35ÀÍ,2,5,2016-01-27
200093,16-25ÀÍ,2,5,2016-01-27
200094,36-45ÀÍ,2,2,2016-01-27
200095,36-45ÀÍ,2,3,2016-01-27
200096,16-25ÀÍ,2,2,2016-01-27
200097,-1,2,5,2013-04-11
