sku_id,a1,a2,a3,cate,brand,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,buy_addcart_ratio,buy_browse_ratio,buy_click_ratio,buy_favor_ratio,comment_num,has_bad_comment,bad_comment_rate
100744,3,-1,2,8,214,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,1.0,0.0,0.0
101001,1,1,2,8,885,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,4.0,1.0,0.0469
101181,1,1,1,8,800,3.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,4.0,1.0,0.0198
10133,3,1,1,8,214,1.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,,3.0,1.0,0.0294
101664,1,1,2,8,693,12.0,0.0,1.0,0.0,0.0,16.0,,0.0,0.0,,4.0,1.0,0.0399
101779,2,2,2,8,124,0.0,0.0,1.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0
10281,-1,1,1,8,766,1.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,4.0,1.0,0.019
103132,1,2,2,8,545,94.0,11.0,0.0,1.0,0.0,151.0,0.09090909090909091,0.010638297872340425,0.006622516556291391,1.0,4.0,1.0,0.0236
10321,3,1,2,8,214,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,4.0,1.0,0.0432
103234,3,1,2,8,214,8.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,,4.0,1.0,0.0307
10325,1,1,2,8,885,20.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,,4.0,1.0,0.0085
103588,1,1,1,8,677,2.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,,3.0,1.0,0.0455
103652,1,-1,2,8,658,7.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,,4.0,1.0,0.0056
103890,3,2,2,8,214,8.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,,2.0,0.0,0.0
105559,3,1,2,8,214,7.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,4.0,1.0,0.0387
106927,1,1,1,8,800,4.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,,4.0,1.0,0.1282
107012,3,2,2,8,306,32.0,0.0,0.0,0.0,0.0,42.0,,0.0,0.0,,4.0,1.0,0.0459
108071,3,1,2,8,214,6.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,,2.0,0.0,0.0
108399,1,2,2,8,403,21.0,2.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0195
108858,1,1,1,8,30,9.0,0.0,0.0,1.0,0.0,5.0,1.0,0.1111111111111111,0.2,1.0,4.0,1.0,0.0235
109083,1,2,1,8,800,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,4.0,1.0,0.0357
109093,1,2,2,8,885,5.0,0.0,1.0,0.0,0.0,9.0,,0.0,0.0,,4.0,1.0,0.0229
109726,3,2,2,8,214,6.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,,3.0,0.0,0.0
109728,3,2,2,8,489,30.0,0.0,0.0,0.0,0.0,40.0,,0.0,0.0,,4.0,1.0,0.0171
